Year,County,Vehicle_Miles,Country,State
1994,KLAMATH,456000000,USA,OREGON
1993,KLAMATH,453600000,USA,OREGON
1992,KLAMATH,456100000,USA,OREGON
1991,KLAMATH,440300000,USA,OREGON
2019,LAKE,71600000,USA,OREGON
2018,LAKE,70800000,USA,OREGON
2017,LAKE,70300000,USA,OREGON
2016,LAKE,68800000,USA,OREGON
2015,LAKE,71500000,USA,OREGON
2014,LAKE,65800000,USA,OREGON
2013,LAKE,65700000,USA,OREGON
2012,LAKE,65200000,USA,OREGON
2011,LAKE,67400000,USA,OREGON
2010,LAKE,69400000,USA,OREGON
2009,LAKE,68300000,USA,OREGON
2008,LAKE,63700000,USA,OREGON
2007,LAKE,71500000,USA,OREGON
2006,LAKE,71000000,USA,OREGON
2005,LAKE,73200000,USA,OREGON
2004,LAKE,77100000,USA,OREGON
2003,LAKE,73900000,USA,OREGON
2002,LAKE,74400000,USA,OREGON
2001,LAKE,71800000,USA,OREGON
2000,LAKE,80700000,USA,OREGON
1999,LAKE,80800000,USA,OREGON
1998,LAKE,79300000,USA,OREGON
1997,LAKE,79700000,USA,OREGON
1996,LAKE,78100000,USA,OREGON
1995,LAKE,84300000,USA,OREGON
1994,LAKE,78100000,USA,OREGON
1993,LAKE,79400000,USA,OREGON
1992,LAKE,79100000,USA,OREGON
1991,LAKE,75400000,USA,OREGON
2019,LANE,1595100000,USA,OREGON
2018,LANE,1571300000,USA,OREGON
2017,LANE,1645500000,USA,OREGON
2016,LANE,1612700000,USA,OREGON
2015,LANE,1547100000,USA,OREGON
2014,LANE,1475100000,USA,OREGON
2013,LANE,1455000000,USA,OREGON
2012,LANE,1453100000,USA,OREGON
2011,LANE,1462600000,USA,OREGON
2010,LANE,1509700000,USA,OREGON
2009,LANE,1532500000,USA,OREGON
2008,LANE,1494200000,USA,OREGON
2007,LANE,1587900000,USA,OREGON
2006,LANE,1609300000,USA,OREGON
2005,LANE,1653700000,USA,OREGON
2004,LANE,1643600000,USA,OREGON
2003,LANE,1661600000,USA,OREGON
2002,LANE,1632700000,USA,OREGON
2001,LANE,1630100000,USA,OREGON
2000,LANE,1616500000,USA,OREGON
1999,LANE,1605700000,USA,OREGON
1998,LANE,1508900000,USA,OREGON
1997,LANE,1509500000,USA,OREGON
1996,LANE,1476000000,USA,OREGON
1995,LANE,1432700000,USA,OREGON
1994,LANE,1396400000,USA,OREGON
1993,LANE,1357600000,USA,OREGON
1992,LANE,1309000000,USA,OREGON
1991,LANE,1310900000,USA,OREGON
2019,LINCOLN,386100000,USA,OREGON
2018,LINCOLN,385500000,USA,OREGON
2017,LINCOLN,356100000,USA,OREGON
2016,LINCOLN,362600000,USA,OREGON
2015,LINCOLN,365700000,USA,OREGON
2014,LINCOLN,370200000,USA,OREGON
2013,LINCOLN,367000000,USA,OREGON
2012,LINCOLN,365800000,USA,OREGON
2011,LINCOLN,340800000,USA,OREGON
2010,LINCOLN,347300000,USA,OREGON
2009,LINCOLN,364300000,USA,OREGON
2008,LINCOLN,351600000,USA,OREGON
2007,LINCOLN,373400000,USA,OREGON
2006,LINCOLN,373100000,USA,OREGON
2005,LINCOLN,385200000,USA,OREGON
2004,LINCOLN,391700000,USA,OREGON
2003,LINCOLN,385900000,USA,OREGON
2002,LINCOLN,392000000,USA,OREGON
2001,LINCOLN,383300000,USA,OREGON
2000,LINCOLN,378400000,USA,OREGON
1999,LINCOLN,376600000,USA,OREGON
1998,LINCOLN,370000000,USA,OREGON
1997,LINCOLN,361100000,USA,OREGON
1996,LINCOLN,346700000,USA,OREGON
1995,LINCOLN,327100000,USA,OREGON
1994,LINCOLN,317200000,USA,OREGON
1993,LINCOLN,329800000,USA,OREGON
1992,LINCOLN,327900000,USA,OREGON
1991,LINCOLN,331600000,USA,OREGON
2019,LINN,1197300000,USA,OREGON
2018,LINN,1192800000,USA,OREGON
2017,LINN,1158200000,USA,OREGON
2016,LINN,1160000000,USA,OREGON
2015,LINN,1139700000,USA,OREGON
2014,LINN,1078200000,USA,OREGON
2013,LINN,1051800000,USA,OREGON
2012,LINN,1027300000,USA,OREGON
2011,LINN,1040800000,USA,OREGON
2010,LINN,1050400000,USA,OREGON
2009,LINN,1056100000,USA,OREGON
2008,LINN,1028700000,USA,OREGON
2007,LINN,1097500000,USA,OREGON
2006,LINN,1083300000,USA,OREGON
2005,LINN,1081700000,USA,OREGON
2004,LINN,1090200000,USA,OREGON
2003,LINN,1086000000,USA,OREGON
2002,LINN,1101900000,USA,OREGON
2001,LINN,1039100000,USA,OREGON
2000,LINN,1034900000,USA,OREGON
1999,LINN,1025000000,USA,OREGON
1998,LINN,989500000,USA,OREGON
1997,LINN,961800000,USA,OREGON
1996,LINN,926200000,USA,OREGON
1995,LINN,897800000,USA,OREGON
1994,LINN,900300000,USA,OREGON
1993,LINN,872500000,USA,OREGON
1992,LINN,852000000,USA,OREGON
1991,LINN,828800000,USA,OREGON
2019,MALHEUR,337400000,USA,OREGON
2018,MALHEUR,333200000,USA,OREGON
2017,MALHEUR,318900000,USA,OREGON
2016,MALHEUR,308800000,USA,OREGON
2015,MALHEUR,293600000,USA,OREGON
2014,MALHEUR,276300000,USA,OREGON
2013,MALHEUR,273500000,USA,OREGON
2012,MALHEUR,269000000,USA,OREGON
2011,MALHEUR,271300000,USA,OREGON
2010,MALHEUR,270500000,USA,OREGON
2009,MALHEUR,266900000,USA,OREGON
2008,MALHEUR,253700000,USA,OREGON
2007,MALHEUR,272900000,USA,OREGON
2006,MALHEUR,275900000,USA,OREGON
2005,MALHEUR,285400000,USA,OREGON
2004,MALHEUR,287700000,USA,OREGON
2003,MALHEUR,307100000,USA,OREGON
2002,MALHEUR,329100000,USA,OREGON
2001,MALHEUR,297100000,USA,OREGON
2000,MALHEUR,294400000,USA,OREGON
1999,MALHEUR,294600000,USA,OREGON
1998,MALHEUR,290200000,USA,OREGON
1997,MALHEUR,286300000,USA,OREGON
1996,MALHEUR,273500000,USA,OREGON
1995,MALHEUR,277600000,USA,OREGON
1994,MALHEUR,279900000,USA,OREGON
1993,MALHEUR,277300000,USA,OREGON
1992,MALHEUR,274500000,USA,OREGON
1991,MALHEUR,249700000,USA,OREGON
2019,MARION,1893300000,USA,OREGON
2018,MARION,1870200000,USA,OREGON
2017,MARION,1828100000,USA,OREGON
2016,MARION,1807100000,USA,OREGON
2015,MARION,1738100000,USA,OREGON
2014,MARION,1642400000,USA,OREGON
2013,MARION,1644000000,USA,OREGON
2012,MARION,1618200000,USA,OREGON
2011,MARION,1622700000,USA,OREGON
2010,MARION,1636600000,USA,OREGON
2009,MARION,1618300000,USA,OREGON
2008,MARION,1560200000,USA,OREGON
2007,MARION,1672600000,USA,OREGON
2006,MARION,1666400000,USA,OREGON
2005,MARION,1643800000,USA,OREGON
2004,MARION,1655500000,USA,OREGON
2003,MARION,1659300000,USA,OREGON
2002,MARION,1643600000,USA,OREGON
2001,MARION,1579400000,USA,OREGON
2000,MARION,1556600000,USA,OREGON
1999,MARION,1522600000,USA,OREGON
1998,MARION,1464500000,USA,OREGON
1997,MARION,1425900000,USA,OREGON
1996,MARION,1373600000,USA,OREGON
1995,MARION,1347000000,USA,OREGON
1994,MARION,1304400000,USA,OREGON
1993,MARION,1245000000,USA,OREGON
1992,MARION,1220400000,USA,OREGON
1991,MARION,1182700000,USA,OREGON
2019,MORROW,207100000,USA,OREGON
2018,MORROW,205400000,USA,OREGON
2017,MORROW,196800000,USA,OREGON
2016,MORROW,199300000,USA,OREGON
2015,MORROW,188500000,USA,OREGON
2014,MORROW,178600000,USA,OREGON
2013,MORROW,173500000,USA,OREGON
2012,MORROW,169700000,USA,OREGON
2011,MORROW,169000000,USA,OREGON
2010,MORROW,167700000,USA,OREGON
2009,MORROW,166000000,USA,OREGON
2008,MORROW,161100000,USA,OREGON
2007,MORROW,158600000,USA,OREGON
2006,MORROW,158000000,USA,OREGON
2005,MORROW,162200000,USA,OREGON
2004,MORROW,166000000,USA,OREGON
2003,MORROW,167700000,USA,OREGON
2002,MORROW,162500000,USA,OREGON
2001,MORROW,158400000,USA,OREGON
2000,MORROW,157500000,USA,OREGON
1999,MORROW,161600000,USA,OREGON
1998,MORROW,148200000,USA,OREGON
1997,MORROW,144600000,USA,OREGON
1996,MORROW,133400000,USA,OREGON
1995,MORROW,141200000,USA,OREGON
1994,MORROW,138000000,USA,OREGON
1993,MORROW,136500000,USA,OREGON
1992,MORROW,131700000,USA,OREGON
1991,MORROW,135800000,USA,OREGON
2019,MULTNOMAH,3140200000,USA,OREGON
2018,MULTNOMAH,3117800000,USA,OREGON
2017,MULTNOMAH,3048100000,USA,OREGON
2016,MULTNOMAH,3096300000,USA,OREGON
2015,MULTNOMAH,3059600000,USA,OREGON
2014,MULTNOMAH,2933200000,USA,OREGON
2013,MULTNOMAH,2895200000,USA,OREGON
2012,MULTNOMAH,2884700000,USA,OREGON
2011,MULTNOMAH,2890400000,USA,OREGON
2010,MULTNOMAH,2940900000,USA,OREGON
2009,MULTNOMAH,2969100000,USA,OREGON
2008,MULTNOMAH,2943400000,USA,OREGON
2007,MULTNOMAH,3051500000,USA,OREGON
2006,MULTNOMAH,3069100000,USA,OREGON
2005,MULTNOMAH,3076900000,USA,OREGON
2004,MULTNOMAH,2997100000,USA,OREGON
2003,MULTNOMAH,3057300000,USA,OREGON
2002,MULTNOMAH,3195900000,USA,OREGON
2001,MULTNOMAH,3190000000,USA,OREGON
2000,MULTNOMAH,3179200000,USA,OREGON
1999,MULTNOMAH,3161800000,USA,OREGON
1998,MULTNOMAH,3099200000,USA,OREGON
1997,MULTNOMAH,3088600000,USA,OREGON
1996,MULTNOMAH,3041800000,USA,OREGON
1995,MULTNOMAH,3004700000,USA,OREGON
1994,MULTNOMAH,2881200000,USA,OREGON
1993,MULTNOMAH,2785600000,USA,OREGON
1992,MULTNOMAH,2725200000,USA,OREGON
1991,MULTNOMAH,2709600000,USA,OREGON
2019,POLK,432100000,USA,OREGON
2018,POLK,430600000,USA,OREGON
2017,POLK,424100000,USA,OREGON
2016,POLK,441300000,USA,OREGON
2015,POLK,423500000,USA,OREGON
2014,POLK,404100000,USA,OREGON
2013,POLK,409600000,USA,OREGON
2012,POLK,412900000,USA,OREGON
2011,POLK,410200000,USA,OREGON
2010,POLK,405800000,USA,OREGON
2009,POLK,401700000,USA,OREGON
2008,POLK,398800000,USA,OREGON
2007,POLK,425800000,USA,OREGON
2006,POLK,431400000,USA,OREGON
2005,POLK,440400000,USA,OREGON
2004,POLK,437500000,USA,OREGON
2003,POLK,440400000,USA,OREGON
2002,POLK,435600000,USA,OREGON
2001,POLK,431800000,USA,OREGON
2000,POLK,426400000,USA,OREGON
1999,POLK,424400000,USA,OREGON
1998,POLK,384100000,USA,OREGON
1997,POLK,376500000,USA,OREGON
1996,POLK,355700000,USA,OREGON
1995,POLK,339300000,USA,OREGON
1994,POLK,324600000,USA,OREGON
1993,POLK,329200000,USA,OREGON
1992,POLK,318300000,USA,OREGON
1991,POLK,303000000,USA,OREGON
2019,SHERMAN,131400000,USA,OREGON
2018,SHERMAN,134500000,USA,OREGON
2017,SHERMAN,126300000,USA,OREGON
2016,SHERMAN,128000000,USA,OREGON
2015,SHERMAN,120700000,USA,OREGON
2014,SHERMAN,114200000,USA,OREGON
2013,SHERMAN,114800000,USA,OREGON
2012,SHERMAN,112600000,USA,OREGON
2011,SHERMAN,111000000,USA,OREGON
2010,SHERMAN,112900000,USA,OREGON
2009,SHERMAN,112600000,USA,OREGON
2008,SHERMAN,107300000,USA,OREGON
2007,SHERMAN,117900000,USA,OREGON
2006,SHERMAN,119100000,USA,OREGON
2005,SHERMAN,118800000,USA,OREGON
2004,SHERMAN,115600000,USA,OREGON
2003,SHERMAN,116700000,USA,OREGON
2002,SHERMAN,116500000,USA,OREGON
2001,SHERMAN,114000000,USA,OREGON
2000,SHERMAN,113100000,USA,OREGON
1999,SHERMAN,113500000,USA,OREGON
1998,SHERMAN,110800000,USA,OREGON
1997,SHERMAN,109000000,USA,OREGON
1996,SHERMAN,105700000,USA,OREGON
1995,SHERMAN,105700000,USA,OREGON
1994,SHERMAN,94300000,USA,OREGON
1993,SHERMAN,93500000,USA,OREGON
1992,SHERMAN,95000000,USA,OREGON
1991,SHERMAN,90900000,USA,OREGON
2019,TILLAMOOK,263900000,USA,OREGON
2018,TILLAMOOK,261900000,USA,OREGON
2017,TILLAMOOK,241200000,USA,OREGON
2016,TILLAMOOK,243000000,USA,OREGON
2015,TILLAMOOK,237400000,USA,OREGON
2014,TILLAMOOK,224300000,USA,OREGON
2013,TILLAMOOK,219900000,USA,OREGON
2012,TILLAMOOK,217100000,USA,OREGON
2011,TILLAMOOK,214700000,USA,OREGON
2010,TILLAMOOK,223900000,USA,OREGON
2009,TILLAMOOK,228900000,USA,OREGON
2008,TILLAMOOK,241600000,USA,OREGON
2007,TILLAMOOK,258200000,USA,OREGON
2006,TILLAMOOK,256300000,USA,OREGON
2005,TILLAMOOK,261900000,USA,OREGON
2004,TILLAMOOK,273600000,USA,OREGON
2003,TILLAMOOK,265000000,USA,OREGON
2002,TILLAMOOK,269100000,USA,OREGON
2001,TILLAMOOK,263800000,USA,OREGON
2000,TILLAMOOK,259900000,USA,OREGON
1999,TILLAMOOK,248500000,USA,OREGON
1998,TILLAMOOK,243600000,USA,OREGON
1997,TILLAMOOK,241500000,USA,OREGON
1996,TILLAMOOK,222800000,USA,OREGON
1995,TILLAMOOK,222800000,USA,OREGON
1994,TILLAMOOK,218400000,USA,OREGON
1993,TILLAMOOK,220300000,USA,OREGON
1992,TILLAMOOK,215900000,USA,OREGON
1991,TILLAMOOK,206800000,USA,OREGON
2019,UMATILLA,699700000,USA,OREGON
2018,UMATILLA,703900000,USA,OREGON
2017,UMATILLA,678300000,USA,OREGON
2016,UMATILLA,684800000,USA,OREGON
2015,UMATILLA,661100000,USA,OREGON
2014,UMATILLA,626400000,USA,OREGON
2013,UMATILLA,630800000,USA,OREGON
2012,UMATILLA,626700000,USA,OREGON
2011,UMATILLA,627800000,USA,OREGON
2010,UMATILLA,606600000,USA,OREGON
2009,UMATILLA,608200000,USA,OREGON
2008,UMATILLA,581900000,USA,OREGON
2007,UMATILLA,617300000,USA,OREGON
2006,UMATILLA,619900000,USA,OREGON
2005,UMATILLA,620900000,USA,OREGON
2004,UMATILLA,624300000,USA,OREGON
2003,UMATILLA,628600000,USA,OREGON
2002,UMATILLA,627000000,USA,OREGON
2001,UMATILLA,631100000,USA,OREGON
2000,UMATILLA,631200000,USA,OREGON
1999,UMATILLA,627500000,USA,OREGON
1998,UMATILLA,593300000,USA,OREGON
1997,UMATILLA,584100000,USA,OREGON
1996,UMATILLA,538600000,USA,OREGON
1995,UMATILLA,517300000,USA,OREGON
1994,UMATILLA,517900000,USA,OREGON
1993,UMATILLA,493300000,USA,OREGON
1992,UMATILLA,493300000,USA,OREGON
1991,UMATILLA,453800000,USA,OREGON
2019,UNION,267800000,USA,OREGON
2018,UNION,269900000,USA,OREGON
2017,UNION,262100000,USA,OREGON
2016,UNION,261500000,USA,OREGON
2015,UNION,252600000,USA,OREGON
2014,UNION,233100000,USA,OREGON
2013,UNION,234200000,USA,OREGON
2012,UNION,230800000,USA,OREGON
2011,UNION,234600000,USA,OREGON
2010,UNION,235900000,USA,OREGON
2009,UNION,239200000,USA,OREGON
2008,UNION,225200000,USA,OREGON
2007,UNION,250300000,USA,OREGON
2006,UNION,239800000,USA,OREGON
2005,UNION,240500000,USA,OREGON
2004,UNION,249800000,USA,OREGON
2003,UNION,251300000,USA,OREGON
2002,UNION,247700000,USA,OREGON
2001,UNION,242100000,USA,OREGON
2000,UNION,241100000,USA,OREGON
1999,UNION,241700000,USA,OREGON
1998,UNION,232200000,USA,OREGON
1997,UNION,236200000,USA,OREGON
1996,UNION,212200000,USA,OREGON
1995,UNION,215200000,USA,OREGON
1994,UNION,219000000,USA,OREGON
1993,UNION,215900000,USA,OREGON
1992,UNION,217400000,USA,OREGON
1991,UNION,189300000,USA,OREGON
2019,WALLOWA,43700000,USA,OREGON
2018,WALLOWA,43700000,USA,OREGON
2017,WALLOWA,42500000,USA,OREGON
2016,WALLOWA,42700000,USA,OREGON
2015,WALLOWA,45100000,USA,OREGON
2014,WALLOWA,41900000,USA,OREGON
2013,WALLOWA,41900000,USA,OREGON
2012,WALLOWA,41000000,USA,OREGON
2011,WALLOWA,40800000,USA,OREGON
2010,WALLOWA,44200000,USA,OREGON
2009,WALLOWA,46100000,USA,OREGON
2008,WALLOWA,43100000,USA,OREGON
2007,WALLOWA,46400000,USA,OREGON
2006,WALLOWA,47600000,USA,OREGON
2005,WALLOWA,47900000,USA,OREGON
2004,WALLOWA,50300000,USA,OREGON
2003,WALLOWA,51900000,USA,OREGON
2002,WALLOWA,51700000,USA,OREGON
2001,WALLOWA,51500000,USA,OREGON
2000,WALLOWA,51200000,USA,OREGON
1999,WALLOWA,50400000,USA,OREGON
1998,WALLOWA,49600000,USA,OREGON
1997,WALLOWA,50700000,USA,OREGON
1996,WALLOWA,49000000,USA,OREGON
1995,WALLOWA,46800000,USA,OREGON
1994,WALLOWA,46600000,USA,OREGON
1993,WALLOWA,47100000,USA,OREGON
1992,WALLOWA,46400000,USA,OREGON
1991,WALLOWA,45700000,USA,OREGON
2019,WASCO,387800000,USA,OREGON
2018,WASCO,391700000,USA,OREGON
2017,WASCO,368800000,USA,OREGON
2016,WASCO,370200000,USA,OREGON
2015,WASCO,349600000,USA,OREGON
2014,WASCO,339900000,USA,OREGON
2013,WASCO,333900000,USA,OREGON
2012,WASCO,328700000,USA,OREGON
2011,WASCO,325100000,USA,OREGON
2010,WASCO,325900000,USA,OREGON
2009,WASCO,324300000,USA,OREGON
2008,WASCO,316300000,USA,OREGON
2007,WASCO,335900000,USA,OREGON
2006,WASCO,332800000,USA,OREGON
2005,WASCO,329500000,USA,OREGON
2004,WASCO,337600000,USA,OREGON
2003,WASCO,343300000,USA,OREGON
2002,WASCO,342700000,USA,OREGON
2001,WASCO,323300000,USA,OREGON
2000,WASCO,319000000,USA,OREGON
1999,WASCO,334900000,USA,OREGON
1998,WASCO,324800000,USA,OREGON
1997,WASCO,318000000,USA,OREGON
1996,WASCO,308900000,USA,OREGON
1995,WASCO,302700000,USA,OREGON
1994,WASCO,300100000,USA,OREGON
1993,WASCO,280800000,USA,OREGON
1992,WASCO,278600000,USA,OREGON
1991,WASCO,273400000,USA,OREGON
2019,WASHINGTON,1864200000,USA,OREGON
2018,WASHINGTON,1848000000,USA,OREGON
2017,WASHINGTON,1817300000,USA,OREGON
2016,WASHINGTON,1821100000,USA,OREGON
2015,WASHINGTON,1780400000,USA,OREGON
2014,WASHINGTON,1718300000,USA,OREGON
2013,WASHINGTON,1733400000,USA,OREGON
2012,WASHINGTON,1711400000,USA,OREGON
2011,WASHINGTON,1713300000,USA,OREGON
2010,WASHINGTON,1761400000,USA,OREGON
2009,WASHINGTON,1823900000,USA,OREGON
2008,WASHINGTON,1845200000,USA,OREGON
2007,WASHINGTON,1834600000,USA,OREGON
2006,WASHINGTON,1818400000,USA,OREGON
2005,WASHINGTON,1831200000,USA,OREGON
2004,WASHINGTON,1833100000,USA,OREGON
2003,WASHINGTON,1830100000,USA,OREGON
2002,WASHINGTON,1888300000,USA,OREGON
2001,WASHINGTON,1877900000,USA,OREGON
2000,WASHINGTON,1853900000,USA,OREGON
1999,WASHINGTON,1843200000,USA,OREGON
1998,WASHINGTON,1810400000,USA,OREGON
1997,WASHINGTON,1741500000,USA,OREGON
1996,WASHINGTON,1762900000,USA,OREGON
1995,WASHINGTON,1619300000,USA,OREGON
1994,WASHINGTON,1554900000,USA,OREGON
1993,WASHINGTON,1519100000,USA,OREGON
1992,WASHINGTON,1458200000,USA,OREGON
1991,WASHINGTON,1560500000,USA,OREGON
2019,WHEELER,20200000,USA,OREGON
2018,WHEELER,20300000,USA,OREGON
2017,WHEELER,21000000,USA,OREGON
2016,WHEELER,20500000,USA,OREGON
2015,WHEELER,19600000,USA,OREGON
2014,WHEELER,19800000,USA,OREGON
2013,WHEELER,19700000,USA,OREGON
2012,WHEELER,19800000,USA,OREGON
2011,WHEELER,20100000,USA,OREGON
2010,WHEELER,20800000,USA,OREGON
2009,WHEELER,21300000,USA,OREGON
2008,WHEELER,20700000,USA,OREGON
2007,WHEELER,22100000,USA,OREGON
2006,WHEELER,22800000,USA,OREGON
2005,WHEELER,24500000,USA,OREGON
2004,WHEELER,25100000,USA,OREGON
2003,WHEELER,25500000,USA,OREGON
2002,WHEELER,25000000,USA,OREGON
2001,WHEELER,25000000,USA,OREGON
2000,WHEELER,24800000,USA,OREGON
1999,WHEELER,26800000,USA,OREGON
1998,WHEELER,26600000,USA,OREGON
1997,WHEELER,26500000,USA,OREGON
1996,WHEELER,27200000,USA,OREGON
1995,WHEELER,27500000,USA,OREGON
1994,WHEELER,27600000,USA,OREGON
1993,WHEELER,21200000,USA,OREGON
1992,WHEELER,20800000,USA,OREGON
1991,WHEELER,20300000,USA,OREGON
2019,YAMHILL,457400000,USA,OREGON
2018,YAMHILL,477900000,USA,OREGON
2017,YAMHILL,465400000,USA,OREGON
2016,YAMHILL,446000000,USA,OREGON
2015,YAMHILL,440800000,USA,OREGON
2014,YAMHILL,416800000,USA,OREGON
2013,YAMHILL,406400000,USA,OREGON
2012,YAMHILL,421800000,USA,OREGON
2011,YAMHILL,416500000,USA,OREGON
2010,YAMHILL,419600000,USA,OREGON
2009,YAMHILL,407200000,USA,OREGON
2008,YAMHILL,403400000,USA,OREGON
2007,YAMHILL,430700000,USA,OREGON
2006,YAMHILL,443200000,USA,OREGON
2005,YAMHILL,431900000,USA,OREGON
2004,YAMHILL,426500000,USA,OREGON
2003,YAMHILL,432400000,USA,OREGON
2002,YAMHILL,417100000,USA,OREGON
2001,YAMHILL,411600000,USA,OREGON
2000,YAMHILL,411100000,USA,OREGON
1999,YAMHILL,416000000,USA,OREGON
1998,YAMHILL,415000000,USA,OREGON
1997,YAMHILL,406300000,USA,OREGON
1996,YAMHILL,386200000,USA,OREGON
1995,YAMHILL,360700000,USA,OREGON
1994,YAMHILL,353000000,USA,OREGON
1993,YAMHILL,325400000,USA,OREGON
1992,YAMHILL,321900000,USA,OREGON
1991,YAMHILL,316500000,USA,OREGON